kode_provinsi,nama_provinsi,tahun,rasio_gini
11,"Prop. Nanggroe Aceh Darussalam",1996,.259
11,"Prop. Nanggroe Aceh Darussalam",1999,.24
11,"Prop. Nanggroe Aceh Darussalam",2002,
11,"Prop. Nanggroe Aceh Darussalam",2005,.299
11,"Prop. Nanggroe Aceh Darussalam",2007,.268
11,"Prop. Nanggroe Aceh Darussalam",2008,.27
11,"Prop. Nanggroe Aceh Darussalam",2009,.29
11,"Prop. Nanggroe Aceh Darussalam",2010,.3
11,"Prop. Nanggroe Aceh Darussalam",2011,.33
11,"Prop. Nanggroe Aceh Darussalam",2012,.32
11,"Prop. Nanggroe Aceh Darussalam",2013,.341
12,"Prop. Sumatera Utara",1996,.301
12,"Prop. Sumatera Utara",1999,.254
12,"Prop. Sumatera Utara",2002,.288
12,"Prop. Sumatera Utara",2005,.327
12,"Prop. Sumatera Utara",2007,.307
12,"Prop. Sumatera Utara",2008,.31
12,"Prop. Sumatera Utara",2009,.32
12,"Prop. Sumatera Utara",2010,.35
12,"Prop. Sumatera Utara",2011,.35
12,"Prop. Sumatera Utara",2012,.33
12,"Prop. Sumatera Utara",2013,.354
13,"Prop. Sumatera Barat",1996,.278
13,"Prop. Sumatera Barat",1999,.256
13,"Prop. Sumatera Barat",2002,.268
13,"Prop. Sumatera Barat",2005,.303
13,"Prop. Sumatera Barat",2007,.305
13,"Prop. Sumatera Barat",2008,.29
13,"Prop. Sumatera Barat",2009,.3
13,"Prop. Sumatera Barat",2010,.33
13,"Prop. Sumatera Barat",2011,.35
13,"Prop. Sumatera Barat",2012,.36
13,"Prop. Sumatera Barat",2013,.363
14,"Prop. Riau",1996,.3
14,"Prop. Riau",1999,.224
14,"Prop. Riau",2002,.292
14,"Prop. Riau",2005,.283
14,"Prop. Riau",2007,.323
14,"Prop. Riau",2008,.31
14,"Prop. Riau",2009,.33
14,"Prop. Riau",2010,.33
14,"Prop. Riau",2011,.36
14,"Prop. Riau",2012,.4
14,"Prop. Riau",2013,.374
15,"Prop. Jambi",1996,.246
15,"Prop. Jambi",1999,.24
15,"Prop. Jambi",2002,.26
15,"Prop. Jambi",2005,.311
15,"Prop. Jambi",2007,.306
15,"Prop. Jambi",2008,.28
15,"Prop. Jambi",2009,.27
15,"Prop. Jambi",2010,.3
15,"Prop. Jambi",2011,.34
15,"Prop. Jambi",2012,.34
15,"Prop. Jambi",2013,.348
16,"Prop. Sumatera Selatan",1996,.3
16,"Prop. Sumatera Selatan",1999,.26
16,"Prop. Sumatera Selatan",2002,.291
16,"Prop. Sumatera Selatan",2005,.311
16,"Prop. Sumatera Selatan",2007,.316
16,"Prop. Sumatera Selatan",2008,.3
16,"Prop. Sumatera Selatan",2009,.31
16,"Prop. Sumatera Selatan",2010,.34
16,"Prop. Sumatera Selatan",2011,.34
16,"Prop. Sumatera Selatan",2012,.4
16,"Prop. Sumatera Selatan",2013,.383
17,"Prop. Bengkulu",1996,.273
17,"Prop. Bengkulu",1999,.254
17,"Prop. Bengkulu",2002,.253
17,"Prop. Bengkulu",2005,.353
17,"Prop. Bengkulu",2007,.338
17,"Prop. Bengkulu",2008,.33
17,"Prop. Bengkulu",2009,.3
17,"Prop. Bengkulu",2010,.37
