kode_provinsi,nama_provinsi,tahun,indeks_pembangunan_manusia
11,"Prov. Nanggroe Aceh Darussalam",1996,69.4
11,"Prov. Nanggroe Aceh Darussalam",1999,65.3
11,"Prov. Nanggroe Aceh Darussalam",2002,66
11,"Prov. Nanggroe Aceh Darussalam",2004,68.7
11,"Prov. Nanggroe Aceh Darussalam",2005,69.05
11,"Prov. Nanggroe Aceh Darussalam",2006,69.41
11,"Prov. Nanggroe Aceh Darussalam",2007,70.35
11,"Prov. Nanggroe Aceh Darussalam",2008,70.76
11,"Prov. Nanggroe Aceh Darussalam",2009,71.31
11,"Prov. Nanggroe Aceh Darussalam",2010,71.7
12,"Prov. Sumatera Utara",1996,70.5
12,"Prov. Sumatera Utara",1999,66.6
12,"Prov. Sumatera Utara",2002,68.8
12,"Prov. Sumatera Utara",2004,71.4
12,"Prov. Sumatera Utara",2005,72.03
12,"Prov. Sumatera Utara",2006,72.46
12,"Prov. Sumatera Utara",2007,72.78
12,"Prov. Sumatera Utara",2008,73.29
12,"Prov. Sumatera Utara",2009,73.8
12,"Prov. Sumatera Utara",2010,74.19
13,"Prov. Sumatera Barat",1996,69.2
13,"Prov. Sumatera Barat",1999,65.8
13,"Prov. Sumatera Barat",2002,67.5
13,"Prov. Sumatera Barat",2004,70.5
13,"Prov. Sumatera Barat",2005,71.19
13,"Prov. Sumatera Barat",2006,71.65
13,"Prov. Sumatera Barat",2007,72.23
13,"Prov. Sumatera Barat",2008,72.96
13,"Prov. Sumatera Barat",2009,73.44
13,"Prov. Sumatera Barat",2010,73.78
14,"Prov. Riau",1996,70.6
14,"Prov. Riau",1999,67.3
14,"Prov. Riau",2002,69.1
14,"Prov. Riau",2004,72.2
14,"Prov. Riau",2005,73.63
14,"Prov. Riau",2006,73.81
14,"Prov. Riau",2007,74.63
14,"Prov. Riau",2008,75.09
14,"Prov. Riau",2009,75.6
14,"Prov. Riau",2010,76.07
15,"Prov. Jambi",1996,69.3
15,"Prov. Jambi",1999,65.4
